Nimi;aliases;Isä;attribute:CO2 (kgCO2e);attribute:CO2 (kgCO2e/kg);attribute:CO2 (kgCO2/kWh);attribute:CO2 (gCO2e/l);note;Lähde;
Huonekalut, matot;;Koti;0,42;;;;Huonekalut, matot;Envimat, Seppälä et. al. 2009;
Astiat;;Koti;0,67;;;;Kodintaloustekstiilit, sisustus, astiat keskiarvo;Envimat, Seppälä et. al. 2009;
Kodintaloustekstiilit;;Koti;0,67;;;;Kodintaloustekstiilit, sisustus, astiat keskiarvo;Envimat, Seppälä et. al. 2009;
Sisustus;;Koti;0,67;;;;Kodintaloustekstiilit, sisustus, astiat keskiarvo;Envimat, Seppälä et. al. 2009;
Työkalut;;Koti;0,51;;;;Kodinkoneet ja työkalut;Envimat, Seppälä et. al. 2009;
Kodinkoneet;;Koti;0,51;;;;Kodinkoneet ja työkalut;Envimat, Seppälä et. al. 2009;
Vapaa-ajan palvelut keskiarvo;;Vapaa-aika;0,29;;;;Vapaa-ajan palvelut keskiarvo;Envimat, Seppälä et. al. 2009;
Elektroniikka;;Koti;0,82;;;;Elektroniikka;Envimat, Seppälä et. al. 2009;
Paperi;;;0,3;;;;Paperitarvikkeet, kirjat, lehdet;Envimat, Seppälä et. al. 2009;
Sanomalehti;;;0,22;;;;Newspaper;https://twosidesna.org/US/our-carbon-footprint-how-do-paper-products-fit-in/;
Aikakausilehti;;;0,83;;;;National Geographic magazine;https://twosidesna.org/US/our-carbon-footprint-how-do-paper-products-fit-in/;
Talouspaperi;;;0,03;;;;Paper towel per piece;https://twosidesna.org/US/our-carbon-footprint-how-do-paper-products-fit-in/;
Vessapaperi;['Wc-paperi'];;0,03;;;;Paper towel per piece;https://twosidesna.org/US/our-carbon-footprint-how-do-paper-products-fit-in/;
Nenäliina;;;0,03;;;;Paper towel per piece;https://twosidesna.org/US/our-carbon-footprint-how-do-paper-products-fit-in/;
Palvelut;;Koti;0,27;;;;Viestintä, vakuutus keskiarvo;Envimat, Seppälä et. al. 2009;
Ravintolat, kahvilat;;Vapaa-aika;0,31;;;;Ravintolat, kahvilat;Envimat, Seppälä et. al. 2009;
Remontointi;;Rakennus;0,02;;;;Remontointi;Envimat, Seppälä et. al. 2009;
Siivouspalvelut;;Koti;0,1;;;;Siivouspalvelut arvio;Envimat, Seppälä et. al. 2009;
Terveydenhoitotuotteet;;Koti;0,51;;;;Kestokulutustavarat, terveydenhoitotuotteet keskiarvo;Envimat, Seppälä et. al. 2009;
Kestokulutustavarat;;Koti;0,51;;;;Kestokulutustavarat, terveydenhoitotuotteet keskiarvo;Envimat, Seppälä et. al. 2009;
Lento 515 km Helsinki-Oulu;;Matkustus;98;;;;Lento 515 km Helsinki-Oulu;Lentolaskuri;
Lento 1603 km Helsinki-Düsseldorf;;Matkustus;255;;;;Lento 1603 km Helsinki-Düsseldorf;Lentolaskuri;
Lento 4700 km Helsinki-Las Palmas;;Matkustus;747;;;;Lento 4700 km Helsinki-Las Palmas;Lentolaskuri;
Lento 8317 km Helsinki-Bangkok;;Matkustus;1012;;;;Lento 8317 km Helsinki-Bangkok;Lentolaskuri;
Autolautta 80 km Helsinki-Tallinna;;Matkustus;35;;;;Autolautta 80 km Helsinki-Tallinna;VTT Lipasto;
Autolautta 400 km Helsinki-Tukholma;;Matkustus;95;;;;Autolautta 400 km Helsinki-Tukholma;VTT Lipasto;
Ropax-alus 1140 km Helsinki-Travemünde;;Matkustus;440;;;;Ropax-alus 1140 km Helsinki-Travemünde;VTT Lipasto;
Linja-auto, kaupunkiliikenne;;Matkustus;63;;;;Linja-auto, kaupunkiliikenne;VTT Lipasto;
Linja-auto, pitkänmatkanliikenne;;Matkustus;54;;;;Linja-auto, pitkänmatkanliikenne;VTT Lipasto;
Lähijuna;;Matkustus;1;;;;Lähijuna;HKL;
Kaukojuna;;Matkustus;1;;;;Kaukojuna;VR;
Raitiovaunu;;Matkustus;1;;;;Raitiovaunu;HKL;
Metro;;Matkustus;1;;;;Metro;HKL;
Miniauto 2003 bensiini;;Matkustus;110;;;;Miniauto 2003 bensiini;;
Miniauto 2003 diesel;;Matkustus;90;;;;Miniauto 2003 diesel;;
Miniauto 2013 bensiini;;Matkustus;97;;;;Miniauto 2013 bensiini;;
Miniauto 2013 diesel;;Matkustus;86;;;;Miniauto 2013 diesel;;
Pikkuauto 2003 bensiini;;Matkustus;140;;;;Pikkuauto 2003 bensiini;;
E10 bensiini;;Polttoaine;;;;2,26;With ethanol combustion;https://www.eia.gov/tools/faqs/faq.php?id=307&t=11;
Diesel;;Polttoaine;;;;2,68;;https://www.eia.gov/tools/faqs/faq.php?id=307&t=11;
B20 biodiesel;;Polttoaine;;;;2,14;;https://www.eia.gov/tools/faqs/faq.php?id=307&t=11;
