"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:CO₂e (kgCO₂e),attribute:CO₂e (kgCO₂e/kg),attribute:CO₂e (kgCO₂e/kWh),attribute:CO₂e (kgCO₂e/km),attribute:CO₂e (kgCO₂e/l),attribute:CO₂e (kgCO₂e/EUR),note,sourceId
Lottery tickets,Arvat,"[""Arpa"", ""Arpamyynti""]",Commerce,,,,,,,,
"Macaroni, Dark, Whole Wheat And Dark Wheat Flour",,"[""Täysjyväspagetti""]",,,,,,,,,
"Macbook Pro 13"" M2 2012 256GB SSD","Macbook Pro 13"" M2 2012 256 Gt SSD",,Electronics,185,,,,,,"MacBook Pro (13-inch, M1, 2020) with 256GB / 512GB storage",25
Mackerel,Makrilli,,Fish,,1.8,,,,,"Mackerel, median",1
Magazine paper,,,Supplies,,,,,,0.32,,2
Magazine paper,Aikakausilehti,,Supplies,0.83,,,,,,National Geographic magazine,24
"Mandarin, Average, With Skin",,,,,0.45,,,,,"Mandarin, median",1
Margarine and fat spread  < 55%,,,,,1.75,,,,,"Margarine, 60% fat, including waste",7
Margarine and fat spread >= 55%,,,,,1.75,,,,,"Margarine, 60% fat, including waste",7
"Meal Replacement, Protein Bar, Average, C. 20% Protein",,,,,,,,,0.7,Plant based groceries,2
Meat dishes,,,,,,,,,1.1,Animal based groceries,2
Medicine,Lääkkeet,,Supplies,,,,,,0.48,"Medicine, raw materials and chemicals",2
Melon,Meloni,,Other fruits,,1.43,,,,,"Melons: passive greenhouse, median",1
Melon,Meloni,,,,0.51,,,,,"Melons, median",1
Metal products,Metallituotteet,,Construction,,,,,,0.81,Other metal products,2
Milk desserts,,,,,,,,,1.1,Animal based groceries,2
"Milk, 1.5% Fat, 1 Ug Added Vitamin D",,"[""Kevytmaito""]",,,,,,,,,
"Milk, 1.5% Fat, Low-Lactose, 1 Ug Added Vitamin D",,"[""Kevytmaito hyla"", ""Kevytmaito vähälaktoosinen""]",,,,,,,,,
Milks <= 2% fat,,,,,1.29,,,,,"Milk: world average, median",1
Milks <= 2% fat,,,,,1,,,,,,26
Milks >2% fat,,,,,1.29,,,,,"Milk: world average, median",1
Milks >2% fat,,,,,1,,,,,,26
Milks skimmed,,,,,1.29,,,,,"Milk: world average, median",1
Milks skimmed,,,,,1,,,,,,26
"Multigrain Bread, Oat Bread, Water",,"[""Kauraleipä""]",,,,,,,,,
"Muskmelon/Cantaloupe Melon, With Skin",,,,,0.25,,,,,"Rockmelon/cantelope, median",1
"Mussel In Water, Canned",,,,,9.51,,,,,"Mussels, median",1
Napkin,Nenäliina,,Hygiene products,0.03,,,,,,Paper towel per piece,24
Newspaper,Sanomalehti,,Supplies,0.22,,,,,,Newspaper,24
Non-chocolate confectionery,,,,,2.6,,,,,Including waste,7
"Nut, Cashew Nut","Pähkinä, cashewpähkinä",,,,1.44,,,,,"Cashew nut, median",1
"Nut, Hazelnut","Pähkinä, hasselpähkinä",,,,0.97,,,,,"Hazelnuts, median",1
"Nut, Peanut","Pähkinä, maapähkinä",,,,0.99,,,,,"Ground nuts, median",1
"Nut, Peanut","Pähkinä, maapähkinä",,,,0.83,,,,,"Peanuts, median",1
"Nut, Pistachio Nut","Pähkinä, pistaasipähkinä",,,,1.53,,,,,"Pistachios, median",1
"Nut, Walnut","Pähkinä, saksanpähkinä",,,,1.51,,,,,"Walnuts, median",1
Nuts and seeds,"Pähkinät, siemenet",,,,2.3,,,,,Pähkinät,27
Oat Bran,"Lese, kauralese",,,,0.38,,,,,"Oats, median",1
"Oat Drink Without Milk, Average Of Industrial Products",Kaurajuoma,,,,,,,1.01,,"Oat drink, vitamin D and Ca added, CO2 equivalent",28
"Oat Drink Without Milk, Oatly Ikaffe, Calcium, Vitamins",,,,,,,,0.55,,"Cradle-to-gate (upstream), Carbon footprint of the product considering all stages of life cycle from field to the gate of the grocery store, incl. transport and packaging.",29
Oatly iMat,,,Oat and oat products,,0.56,,,,,,29
"Oats, Rolled, Oat Flakes",Kaurahiutale,"[""Iso kaurahiutale""]",,,0.38,,,,,"Oats, median",1
Octopus,Mustekala,,,,7.13,,,,,"Octopus/squid/cuttlefish, median",1
Offal dishes,,,,,,,,,1.1,Animal based groceries,2
Oils,,,,,,,,,0.7,Plant based groceries,2
Olive oil,,,,,,,,0.79,,"Life cycle, cradle to grave, approximate value, 2018",28
"Olive, Average, Without Stone, In Brine, Green",,"[""Oliivi"", ""Kalamata oliivi"", ""Kalamon oliivi""]",,,0.63,,,,,"Olives, median",1
Onion,"Sipuli, keltasipuli","[""Sipuli""]",,,0.17,,,,,"Onion, median",1
Onion-family vegetables,,,,,0.17,,,,,"Onion, median",1
"Onion, Red Onion",,,,,0.17,,,,,"Onion, median",1
"Orange Juice, Unsweetened, Vitamin C",,,,,,,,0.19,,"Orange juice, with resetting",30
"Orange, Average, With Skin",,"[""Appelsiini"", ""Veriappelsiini""]",,,0.33,,,,,"Orange, median",1
Palm Oil,Palmuöljy,,,,2.23,,,,,,31
Palm Oil,Palmuöljy,,,,,,,2,,Including iLUC,32
Paper,Paperi,,Supplies,,,,,,0.32,"Paperitarvikkeet, kirjat, lehdet",1
Paper bag,Paperikassi,,Supplies,0.01,,,,,,,33
"Peach/Nectarine, Average, With Stone",,,,,0.43,,,,,"Peaches and nectarines, median",1
Peanut Butter Without Added Salt,,,,,2.5,,,,,Maapähkinävoi,27
Peanut Oil,Maapähkinäöljy,,,,,,,5,,Including iLUC,32
"Pear, With Skin",Päärynä,,,,0.31,,,,,"Pears, median",1
"Peas, Green, Dried","Herne, vihreä, kuivattu",,,,0.38,,,,,"Peas, median",1
"Pelmeni, Dumpling Filled With Minced Meat",,"[""Pelmienit""]",,,,,,,,,
"Pesto Sauce, Herb Sauce",,,,,,,,,0.7,Plant based groceries,2
Phone,Puhelin,,Electronics,,,,,,,,
Phone case,Puhelimen suojakotelo,,Supplies,,,,,,,,
Phone screen protector,Puhelimen näytönsuoja,,Supplies,,,,,,,,
"Pineapple, Canned, In Own Juice",,,,,0.5,,,,,"Pineapples, median",1
"Pineapple, With Skin","Ananas, tuore, punnittu kuorineen","[""Ananas""]",,,0.5,,,,,"Pineapples, median",1
Pinto bean,Pintopapu,,Pulses vegetables,,0.73,,,,,"Beans: pinto USA dried, median",1
"Pizza, Mozzarella And Tomato Pizza, Saarioinen",,,,,4.4,,,,,Tesco Family Cheese and Tomato Pizza 512g,34
"Pizza, pepperoni","Pizza, pepperoni",,Pizza,,4.7,,,,,Tesco Family Pepperoni Pizza 487g,34
Plakebean,Plakepapu,,Pulses vegetables,,0.26,,,,,"Beans: blake, median",1
Plastic bag,Muovikassi,"[""Muovipussi"", ""Pakastuspussi""]",Supplies,0.035,,,,,,"Plastic bag, average",33
"Plastic bag, biodegradable",Biohajoava pussi,,Supplies,0.05,,,,,,"Biodegradable plastic bag, average",33
"Plastic bag, recycled","Muovikassi, kierrätetty","[""Henkselikassi, recycling"", ""Muovipussi, recycled""]",Supplies,0.01,,,,,,"Recyclable plastic bag, average",33
