"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:GHG (kgCO₂e),attribute:GHG (kgCO₂e/kg),attribute:GHG (kgCO₂e/kWh),attribute:GHG (kgCO₂e/km),attribute:GHG (kgCO₂e/l),attribute:GHG (kgCO₂e/EUR),note,sourceId
"Kiwi Fruit, With Skin",,,,,"0,36",,,,,"Kiwi fruit, median",1
Lamb/mutton,Lammas,,,,"25,58",,,,,"Lamb: world average, median",1
Leaf vegetables,,,,,"0,5",,,,,Greens,46
"Lemon, With Skin",,"[""Sitruuna""]",,,"0,26",,,,,"Lemons and limes, median",1
"Lentils, Green/Brown Dried","Linssi, vihreä/ruskea, kuivattu",,,,"1,03",,,,,"Lentils, median",1
"Lentils, Red, Cooked","Linssi, punainen, keitetty",,,,"1,03",,,,,"Lentils, median",1
"Lentils, Red, Dried","Linssi, punainen, kuivattu",,,,"1,03",,,,,"Lentils, median",1
Lettuce,,"[""Sesonkisalaattisekoitus""]",,,"3,7",,,,,"Lettuce: heated greenhouse, median",1
Lima bean,Limanpapu,"[""Butter bean"", ""Voipapu""]",Pulses vegetables,,"0,39",,,,,"Beans: gigante/butter, median",1
Lime,Limetti,,Citrus fruit,,"0,26",,,,,"Lemons and limes, median",1
Ling,Molva,,Fish,,"6,45",,,,,"Ling common, median",1
"Liquorice, licorice",,,,,,,,,"0,7",Plant based groceries,2
Literature,Kirjallisuus,"[""Book"", ""Kirja""]",Supplies,,,,,,"0,4","Sanomalehdet, kirjat ja paperitarvikkeet",2
Lobster,Hummeri,,,,"27,8",,,,,"Lobster, median",1
Lottery tickets,Arvat,"[""Arpa"", ""Arpamyynti""]",Commerce,,,,,,,,
"Macaroni, Dark, Whole Wheat And Dark Wheat Flour",,"[""Täysjyväspagetti""]",,,,,,,,,
"Macbook Pro 13"" M2 2012 256GB SSD","Macbook Pro 13"" M2 2012 256 Gt SSD",,Electronics,185,,,,,,"MacBook Pro (13-inch, M1, 2020) with 256GB / 512GB storage",25
Mackerel,Makrilli,,Fish,,"1,8",,,,,"Mackerel, median",1
Magazine paper,Aikakausilehti,,Literature,,,,,,"0,32",,2
Magazine paper,,,,"0,83",,,,,,National Geographic magazine,24
"Mandarin, Average, With Skin",,"[""Mandariini""]",,,"0,45",,,,,"Mandarin, median",1
Margarine and fat spread  < 55%,,,,,"1,75",,,,,"Margarine, 60% fat, including waste",7
Margarine and fat spread >= 55%,,,,,"1,75",,,,,"Margarine, 60% fat, including waste",7
"Mayonnaise, 60% Fat",,"[""American dressing"", ""Big tasty -kastike""]",,,,,,"4,23",,2.0 kgCO₂eq per 473 mL pot of mayonnaise,49
"Mayonnaise, 80% Fat",,"[""Mayonnaise"", ""Majoneesi""]",,,,,,"4,23",,2.0 kgCO₂eq per 473 mL pot of mayonnaise,49
"Meal Replacement, Protein Bar, Average, C. 20% Protein",,,,,,,,,"0,7",Plant based groceries,2
"Meal Replacement, Protein Bar, Average, C. 40% Protein",,"[""Barebells proteiinipatukka""]",,,,,,,,,
Meat dishes,,,,,,,,,"1,1",Animal based groceries,2
Media duplication services,Tallenteiden jäljentämispalvelut,,Services,,,,,,"0,9",,2
Medicine,Lääkkeet,,Supplies,,,,,,"0,48","Medicine, raw materials and chemicals",2
Melon,Meloni,,,,"0,51",,,,,"Melons, median",1
Melon,Meloni,,Other fruits,,"1,43",,,,,"Melons: passive greenhouse, median",1
Metal,Metalli,,Construction,,,,,,"0,81",Other metal products,2
Milk desserts,,,,,,,,,"1,1",Animal based groceries,2
"Milk, 1.5% Fat, 1 Ug Added Vitamin D",,"[""Kevytmaito""]",,,,,,,,,
"Milk, 1.5% Fat, Lactose-Free, 1 Ug Added Vitamin D",,"[""Pirkka laktoositon kevytmaitojuoma""]",,,,,,,,,
"Milk, 1.5% Fat, Low-Lactose, 1 Ug Added Vitamin D",,"[""Kevytmaito hyla"", ""Kevytmaito vähälaktoosinen""]",,,,,,,,,
"Milk, 3.5% Fat, 1 Ug Added Vitamin D",,"[""Täysmaito""]",,,,,,,,,
Milks <= 2% fat,,,,,1,,,,,,26
