"name[""en-US""]";"name[""fi-FI""]";aliases;parent;attribute:GHG (kgCO₂e);attribute:GHG (kgCO₂e/kg);attribute:GHG (kgCO₂/kWh);attribute:GHG (kgCO₂e/km);attribute:GHG (kgCO₂e/l);attribute:GHG (kgCO₂e/EUR);attribute:Land use (m²/kg);attribute:Land use (m²/l);attribute:Eutrophication (gPO₄eq/kg);attribute:Eutrophication (gPO₄eq/l);attribute:Freshwater footprint (l/kg);attribute:Freshwater footprint (l/l);note;sourceId
Cleaning Services;Siivouspalvelut;;Services;;;;;;0,1;;;;;;;Siivouspalvelut arvio;2
Cleaning Services;Siivouspalvelut;;Services;;;;;;0,1;;;;;;;Siivouspalvelut arvio;2
Clothes;Vaatteet;"[""Käsineet"", ""Sukat"", ""Tights""]";Supplies;;;;;;0,4;;;;;;;Vaatteet;2
Clothes;Vaatteet;"[""Käsineet"", ""Sukat"", ""Tights""]";Supplies;;;;;;0,4;;;;;;;Vaatteet;2
Cocoa powder with sugar;;;;;;;;;;;;;;;;;
Coconut Oil;Kookosöljy;;;;1,78;;;;0,7;;;;;;;Plant based groceries;2
Coconut Oil;Kookosöljy;;;;1,78;;;;0,7;;;;;;;Plant based groceries;2
Coconut Water, Unsweetened;;"[""Kookosvesi maustamaton luomu""]";;;;;;;;;;;;;;;
Coffee;;;;;;;;;;21,62;;;;;;Coffee;1
Coffee;;;;;;;;;;;;110,52;;;;Coffee;1
Coffee;;;;;;;;;;;;;1,6578;;;Coffee (98,5 % water);1
Coffee;;;;;;;;;;;;;;;1,375;Coffee (98,5 % water);1
Colour Collector Cloth;Liankerääjä;"[""Tekst.pesu- & Puhd.ain.""]";Hygiene products;;;;;;;;;;;;;;
Commerce;Kaupankäynti;;Services;;;;;;;;;;;;;;
Condiments;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Condiments;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Construction;Rakentaminen;;Supplies;;;;;;;;;;;;;;
Cooking Cream, 15% Fat;;"[""Creamy""]";;;;;;;;;;;;;;;
Corn Cookie, Lentil and Sea Salt;Maissikakut Linssi ja Merisuola;;Savoury biscuits;;;;;;;;;;;;;;
Corn Snack, Puffed, Corn Puffs Without Added Salt;;"[""Maissikakku""]";;;;;;;;;;;;;;;
Cosmetic products;Kosmetiikka;;Supplies;;;;;;0,4;;;;;;;Personal items;2
Cosmetic products;Kosmetiikka;;Supplies;;;;;;0,4;;;;;;;Personal items;2
Cream Cheese, 30% Fat, Flavoured, Creme Bonjour/Cantadou;;"[""Tuorejuusto yrtti""]";;;;;;;;;;;;;;;
Cream sauce with meat bouillon;;"[""Creamy sauce""]";;;;;;;;;;;;;;;
Creatine;Kreatiini;"[""Monohydrate""]";Sport food;;;;;;;;;;;;;;
Crispbread, Rye, 17% Fibre;;"[""Pyöreäruutu""]";;;;;;;;;;;;;;;
Deep-Fried Vegetable Pasty, Hoviruoka;;"[""Vegaaninen piirakka""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Deep-Fried Vegetable Pasty, Hoviruoka;;"[""Vegaaninen piirakka""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Delivery;Toimitus;"[""Utkörning""]";Services;;;;;;0,4;;;;;;;Transportation services;2
Delivery;Toimitus;"[""Utkörning""]";Services;;;;;;0,4;;;;;;;Transportation services;2
Dental care products;Hammashoitotuotteet;"[""Dental flosh"", ""Hammaslanka"", ""Suuvesi""]";Hygiene products;;;;;;;;;;;;;;
Dental care services;Hammashoitopalvelut;;Services;;;;;;0,2;;;;;;;Health care services;2
Dental care services;Hammashoitopalvelut;;Services;;;;;;0,2;;;;;;;Health care services;2
Deposit;Pantti;"[""Pullopantti"", ""Panttipalautus""]";Commerce;;;;;;;;;;;;;;
Deposit return;Pullopalautus;;Commerce;;;;;;;;;;;;;;
Dessert sauces;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Dessert sauces;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Dipmix, Milk-Free;;"[""Dipmix Valkosipuli""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Dipmix, Milk-Free;;"[""Dipmix Valkosipuli""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Discount;Alennus;;Commerce;;;;;;;;;;;;;;
Disposable Dish;Kertakäyttöastiat;"[""Kertak.kattaustuott.""]";Kitchen;;;;;;;;;;;;;;
Earbuds;Nappikuulokkeet;;Electronics;;;;;;;;;;;;;;
Egg;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Egg;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Electric cable;Sähköjohto;"[""Jatkojohto""]";Supplies;;;;;;0,73;;;;;;;Insulated wires and cables;2
Electric cable;Sähköjohto;"[""Jatkojohto""]";Supplies;;;;;;0,73;;;;;;;Insulated wires and cables;2
Electronics;Elektroniikka;;Supplies;;;;;;0,82;;;;;;;Elektroniikka;2
Electronics;Elektroniikka;;Supplies;;;;;;0,82;;;;;;;Elektroniikka;2
Eraser;Pyyhemuovi;;Supplies;;;;;;1,01;;;;;;;Plastic products;2
Eraser;Pyyhemuovi;;Supplies;;;;;;1,01;;;;;;;Plastic products;2
Ferry;;;;;;;;;1,4;;;;;;;Boat trips;2
Ferry;;;;;;;;;1,4;;;;;;;Boat trips;2
Fish;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Fish;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Fish Ball, Industrial;;"[""Saaristolaispyörykät""]";;;;;;;;;;;;;;;
Fish dishes;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Fish dishes;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Fish Fingers, Oven-Baked, Industrial;;"[""Rapeita kalapaloja"", ""Rapeat kalapalat""]";;;;;;;;;;;;;;;
