"id","code","name","parentId"
109,"QUERCE","{""en-US"": ""Quercetin"", ""fi-FI"": ""Kversetiini"", ""sv-SE"": ""Kversetin""}",107
110,"KG","{""en-US"": ""kg"", ""fi-FI"": ""kilogramma"", ""sv-SE"": ""kilogram""}",5
111,"DL","{""en-US"": ""decilitre"", ""fi-FI"": ""desilitra"", ""sv-SE"": ""deciliter""}",5
112,"L","{""en-US"": ""l"", ""fi-FI"": ""litra"", ""sv-SE"": ""liter""}",5
113,"RKL","{""en-US"": ""tablespoon"", ""fi-FI"": ""ruokalusikka"", ""sv-SE"": ""matsked""}",5
114,"TL","{""en-US"": ""teaspoon"", ""fi-FI"": ""teelusikka"", ""sv-SE"": ""tesked""}",5
115,"KPL_S","{""en-US"": ""small piece"", ""fi-FI"": ""pieni (kpl)"", ""sv-SE"": ""litet stycke""}",5
116,"KPL_M","{""en-US"": ""medium-sized piece"", ""fi-FI"": ""keskikokoinen (kpl)"", ""sv-SE"": ""medelstort stycke""}",5
117,"KPL_L","{""en-US"": ""big piece"", ""fi-FI"": ""iso (kpl)"", ""sv-SE"": ""stort stycke""}",5
118,"KPL_VALM","{""en-US"": ""Manufacturer (piece)"", ""fi-FI"": ""Valmistaja (kpl)"", ""sv-SE"": ""Producent (stycke)""}",5
119,"PORTS","{""en-US"": ""small portion"", ""fi-FI"": ""pieni annos"", ""sv-SE"": ""liten portion""}",5
120,"PORTM","{""en-US"": ""medium-sized portion"", ""fi-FI"": ""keskikokoinen annos"", ""sv-SE"": ""medelstor portion""}",5
121,"PORTL","{""en-US"": ""big portion"", ""fi-FI"": ""iso annos"", ""sv-SE"": ""stor portion""}",5
122,"PORTTBL","{""en-US"": ""Food composition table portion"", ""fi-FI"": ""Elintarviketaulukossa käytetty annos"", ""sv-SE"": ""Portion i livsmedels tabell""}",5
123,"SPLPORT","{""en-US"": ""pieces of portion"", ""fi-FI"": ""kappaletta annosta"", ""sv-SE"": ""stycke av portion""}",5
124,"PORT1000KJ","{""en-US"": ""Portion equivalent with 1000 kJ energy"", ""fi-FI"": ""Annoksen koko, joka vastaa 1000kJ"", ""sv-SE"": ""Portion som motsvarar 1000kJ energi""}",5
125,NULL,"{""en-US"": ""Freshwater withdrawal"", ""fi-FI"": ""Freshwater withdrawal""}",NULL
