"attribute.name[""en-US""]";sourceId;minValue;maxValue;unit;perUnit;minimumAge;maximumAge;sex;weight;pav;pal;note
fatty acids, polyunsaturated, cis, remainder;;;;;;;;;;;;
cholesterol (GC);;;;;;;;;;;;
cholesterol (enzymatic);;;;;;;;;;;;
sterols, total;;;;;;;;;;;;
avenasterol, total;;;;;;;;;;;;
brassicasterol;;;;;;;;;;;;
campesterol, total;;;;;;;;;;;;
sitosterol;;;;;;;;;;;;
sterols, other;;;;;;;;;;;;
stigmasterol, unspecified;;;;;;;;;;;;
stanols, total;;;;;;;;;;;;
nitrates;;;;;;;;;;;;
nitrites;;;;;;;;;;;;
cinnamic acid;;;;;;;;;;;;
citric acid;;;;;;;;;;;;
lactic acid;;;;;;;;;;;;
malic acid;;;;;;;;;;;;
acetic acid;;;;;;;;;;;;
p-hydroxybenzoic acid;;;;;;;;;;;;
ferulic acid;;;;;;;;;;;;
gallic acid;;;;;;;;;;;;
other phenolic acids;;;;;;;;;;;;
paracoumaric acid;;;;;;;;;;;;
phenolic acids, total;;;;;;;;;;;;
protocatechuic acid;;;;;;;;;;;;
sinapic acid;;;;;;;;;;;;
syringic acid;;;;;;;;;;;;
vanillic acid;;;;;;;;;;;;
taurine;;;;;;;;;;;;
alanine;;;;;;;;;;;;
arginine;;;;;;;;;;;;
asparagine and aspartic acid;;;;;;;;;;;;
asparagine;;;;;;;;;;;;
cysteine;;;;;;;;;;;;
glutamine+glutamic acid;;;;;;;;;;;;
glutamine;;;;;;;;;;;;
glycine;;;;;;;;;;;;
histidine;;;;;;;;;;;;
isoleucine;;;;;;;;;;;;
leucine;;;;;;;;;;;;
lysine;;;;;;;;;;;;
methionine;;;;;;;;;;;;
methionine (EKT hydrolysis);;;;;;;;;;;;
phenylalanine;;;;;;;;;;;;
proline;;;;;;;;;;;;
serine;;;;;;;;;;;;
tryptophan;;;;;;;;;;;;
tyrosine;;;;;;;;;;;;
valine;;;;;;;;;;;;
betain;;;;;;;;;;;;
choline, total;;;;;;;;;;;;
eriodictyol;;;;;;;;;;;;
epicatechin;;;;;;;;;;;;
hesperitin;;;;;;;;;;;;
isoramnetiini;;;;;;;;;;;;
kaempherol;;;;;;;;;;;;
catechin;;;;;;;;;;;;
luteolin;;;;;;;;;;;;
myricetin;;;;;;;;;;;;
naringenin;;;;;;;;;;;;
quercetin;;;;;;;;;;;;
biochanin A;;;;;;;;;;;;
formononetin;;;;;;;;;;;;
genistein;;;;;;;;;;;;
lignans;;;;;;;;;;;;
secoisolarisiresinol;;;;;;;;;;;;
alkylresorcinols;;;;;;;;;;;;
anthocyanidins, total;;;;;;;;;;;;
avenathramides;;;;;;;;;;;;
cyanidin;;;;;;;;;;;;
delphinidin;;;;;;;;;;;;
ellagitannins;;;;;;;;;;;;
malvidin;;;;;;;;;;;;
proanthocyanidin 4-6mers;;;;;;;;;;;;
proanthocyanidin 7-10mers;;;;;;;;;;;;
proanthocyanids bound;;;;;;;;;;;;
proanthocyanidin dimers;;;;;;;;;;;;
proanthocyanidin monomers;;;;;;;;;;;;
proanthocyanopolymers;;;;;;;;;;;;
proanthocyanidin trimers;;;;;;;;;;;;
pelargonidin;;;;;;;;;;;;
peonidin;;;;;;;;;;;;
petunidin;;;;;;;;;;;;
proanthocyanidins total;;;;;;;;;;;;
caffeine;;;;;;;;;;;;
cadaverine;;;;;;;;;;;;
histamine;;;;;;;;;;;;
phenylethylamine;;;;;;;;;;;;
putrescine;;;;;;;;;;;;
raffinose;;;;;;;;;;;;
serotonin;;;;;;;;;;;;
spermidine;;;;;;;;;;;;
spermine;;;;;;;;;;;;
tocopherols, total;;;;;;;;;;;;
trehalose;;;;;;;;;;;;
tryptamine;;;;;;;;;;;;
tyramine;;;;;;;;;;;;
englanti;;;;;;;;;;;;
